Name,Volume,Ask Size,Ask Price,Bid Size,Bid Price,Last Price,Shares Matched,Shares Routed
DECZ,2099,0,0.00,0,0.00,33.47,2099,0
ROMO,2085,0,0.00,0,0.00,27.99,2085,0
HSRT,2081,0,0.00,0,0.00,39.07,1481,600
TAIL,2061,75,11.99,1,11.13,11.79,1982,79
MAMB,2057,0,0.00,0,0.00,21.63,2057,0
DUBS,2053,0,0.00,0,0.00,28.32,2053,0
QVOY,2034,0,0.00,0,0.00,27.57,2034,0
FPRO,2002,0,0.00,0,0.00,19.62,2002,0
IBMR,1999,0,0.00,0,0.00,24.95,1999,0
GOOX,1994,400,28.24,400,27.19,29.02,1994,0
NUDM,1992,4,35.00,0,0.00,30.08,1992,0
BAMU,1945,0,0.00,0,0.00,25.35,1945,0
WFHY,1926,0,0.00,40,43.33,44.39,1926,0
RSBT,1921,700,18.76,0,0.00,17.94,1921,0
DWLD,1916,0,0.00,0,0.00,32.78,1646,270
GJUL,1898,0,0.00,0,0.00,33.51,1898,0
TMAT,1897,5,19.00,0,0.00,16.18,1897,0
FDEM,1889,0,0.00,1,23.50,24.37,1889,0
RULE,1888,0,0.00,0,0.00,21.36,1888,0
BUFF,1881,0,0.00,0,0.00,41.41,1435,446
IDUB,1875,0,0.00,0,0.00,20.45,1875,0
YJUN,1873,1,23.22,0,0.00,21.56,1573,300
OSCV,1861,0,0.00,0,0.00,34.62,1561,300
HEGD,1860,0,0.00,0,0.00,20.22,1860,0
MDEV,1855,0,0.00,0,0.00,20.15,1855,0
UMAR,1851,0,0.00,0,0.00,32.10,1851,0
HYMU,1850,45,23.00,20,22.10,22.17,1850,0
KJAN,1848,0,0.00,0,0.00,34.31,1723,125
TJUL,1843,8,26.50,0,0.00,26.08,1843,0
MVFD,1841,0,0.00,0,0.00,24.81,1841,0
EFUT,1793,6,32.00,10,19.72,25.37,1593,200
FNOV,1778,0,0.00,0,0.00,44.22,1778,0
EPRF,1766,1,23.20,0,0.00,18.69,1766,0
SNAV,1753,0,0.00,0,0.00,28.28,1753,0
DDEC,1734,0,0.00,0,0.00,37.01,1734,0
DJUL,1696,0,0.00,0,0.00,38.22,1696,0
QCAP,1686,0,0.00,0,0.00,20.19,1686,0
IBMN,1683,0,0.00,0,0.00,26.39,1683,0
MPRO,1654,0,0.00,0,0.00,26.97,1654,0
DURA,1646,0,0.00,0,0.00,31.85,1146,500
YDEC,1630,0,0.00,0,0.00,23.10,1530,100
PRNT,1626,50,21.50,5,20.68,21.30,1626,0
FFSM,1606,0,0.00,0,0.00,24.97,1496,110
IZRL,1606,1,21.00,9,18.37,19.34,1606,0
BFEB,1570,0,0.00,0,0.00,38.70,1570,0
SVAL,1555,3,35.00,0,0.00,29.44,1555,0
XSHD,1554,15,16.20,1,14.40,14.79,1554,0
STLG,1548,0,0.00,0,0.00,45.36,1548,0
VEGN,1526,9,48.88,0,0.00,44.27,1526,0
XSHQ,1509,3,45.00,5,37.00,39.93,1509,0
DFEB,1504,0,0.00,0,0.00,38.48,1504,0
FMAR,1500,0,0.00,0,0.00,38.47,1500,0
TUSI,1500,0,0.00,0,0.00,25.31,1500,0
GAA,1489,4000,28.74,10,21.40,28.50,1489,0
TBJL,1477,0,0.00,0,0.00,19.17,1477,0
UAUG,1439,0,0.00,0,0.00,32.18,1439,0
FDRV,1438,112,29.00,0,0.00,13.23,1438,0
GHTA,1422,0,0.00,0,0.00,27.03,1422,0
XVV,1414,0,0.00,0,0.00,38.76,1414,0
APRH,1403,0,0.00,0,0.00,24.44,1403,0
TMFG,1391,27,33.02,100,28.40,29.04,1391,0
BUFB,1390,0,0.00,0,0.00,29.00,1390,0
KAPR,1389,0,0.00,0,0.00,30.12,1389,0
BGLD,1383,0,0.00,0,0.00,20.19,783,600
FMAY,1379,0,0.00,0,0.00,43.28,1379,0
DNOV,1375,0,0.00,0,0.00,40.04,1375,0
BBIN,1343,0,0.00,1,56.27,58.50,1343,0
MOTI,1335,1,31.90,0,0.00,31.01,1335,0
OILK,1323,600,49.94,600,48.15,48.44,1323,0
QDEC,1316,0,0.00,0,0.00,24.38,1316,0
PBAP,1307,0,0.00,0,0.00,24.70,1307,0
MFUL,1291,3,22.49,0,0.00,21.03,1291,0
PNOV,1285,0,0.00,0,0.00,35.50,1285,0
FCTR,1283,1,31.78,0,0.00,30.15,1283,0
IBHJ,1280,0,0.00,0,0.00,25.65,1280,0
PJAN,1260,0,0.00,0,0.00,38.65,1260,0
SFEB,1230,0,0.00,0,0.00,19.72,1230,0
VXZ,1219,6050,15.40,2222,13.33,13.51,1219,0
MINN,1194,0,0.00,0,0.00,21.98,1194,0
TFJL,1186,0,0.00,0,0.00,19.59,1186,0
LQDW,1166,98,28.49,10,27.73,28.30,1166,0
FFEB,1147,0,0.00,0,0.00,44.42,1050,97
STBF,1147,0,0.00,0,0.00,24.96,1147,0
ADFI,1144,0,0.00,0,0.00,8.38,1144,0
IYLD,1129,1699,23.09,125,18.55,19.61,1129,0
SEIV,1129,0,0.00,0,0.00,29.99,1129,0
VTEI,1128,0,0.00,0,0.00,99.15,1128,0
DINT,1114,0,0.00,0,0.00,19.72,1114,0
TILT,1112,1,235.00,0,0.00,190.42,1112,0
PFEB,1096,0,0.00,0,0.00,33.79,1096,0
RSEE,1064,0,0.00,0,0.00,27.38,1064,0
UJAN,1058,0,0.00,0,0.00,35.66,958,100
BUFT,1057,0,0.00,0,0.00,21.30,1057,0
FSEP,1052,0,0.00,0,0.00,42.02,1052,0
PJUL,1050,0,0.00,0,0.00,37.80,1050,0
APRZ,1045,0,0.00,0,0.00,31.49,1045,0
JANQ,1045,0,0.00,0,0.00,24.63,1045,0
XDTE,1039,9,52.90,3,50.38,50.71,1039,0
MSMR,1035,0,0.00,0,0.00,26.75,1035,0
PBP,1027,0,0.00,0,0.00,21.98,1027,0
VFQY,1026,1,131.75,1,124.94,131.33,1026,0
PSMJ,1021,0,0.00,0,0.00,26.06,821,200
JANZ,1016,0,0.00,0,0.00,31.34,1016,0
UNOV,1010,0,0.00,0,0.00,32.59,1010,0
IQM,1003,0,0.00,2,52.50,54.88,1003,0
FHEQ,1001,0,0.00,0,0.00,24.39,1001,0
MGRO,1001,0,0.00,0,0.00,28.57,1001,0
PSEP,965,0,0.00,0,0.00,36.24,965,0
VFVA,955,0,0.00,5,109.00,114.53,955,0
BMAR,950,0,0.00,0,0.00,40.75,950,0
VCEB,936,0,0.00,0,0.00,61.05,936,0
XOCT,909,0,0.00,0,0.00,32.79,909,0
FAUG,902,0,0.00,0,0.00,42.47,902,0
XJH,893,0,0.00,0,0.00,39.01,893,0
KWT,883,0,0.00,0,0.00,32.96,883,0
TTAI,878,2,30.17,10,25.98,28.97,878,0
BCHP,877,0,0.00,0,0.00,30.68,877,0
FJUL,860,0,0.00,0,0.00,43.73,860,0
INAV,826,0,0.00,0,0.00,25.38,826,0
HYIN,807,1,19.50,2,18.11,18.20,807,0
QCON,807,0,0.00,0,0.00,41.93,807,0
ARKY,806,10,46.80,1000,34.70,38.30,806,0
GVAL,773,1,23.33,0,0.00,21.49,773,0
SFIG,758,0,0.00,0,0.00,47.22,758,0
FOCT,744,0,0.00,0,0.00,40.39,744,0
DSEP,743,0,0.00,0,0.00,37.88,743,0
PAUG,739,0,0.00,0,0.00,34.92,739,0
APRQ,700,0,0.00,0,0.00,24.49,700,0
BNOV,696,0,0.00,0,0.00,36.25,696,0
RODE,686,0,0.00,0,0.00,27.51,686,0
EDEN,678,0,0.00,1,112.11,119.26,678,0
